,Unnamed: 0,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
1495,1495,closer,af88c375d43a_6,trial_28_chihuahua,trial_16_bloodhound,trial_18_pug,trial_25_goldenretriever,closer_chihuahua
1496,1496,closer,af88c375d43a_7,trial_3_redantique,trial_17_redsport,trial_31_bluesedan,trial_9_brown,closer_redantique
1498,1498,further,af88c375d43a_10,trial_12_bluejay,trial_30_doberman,trial_6_hatchback,trial_8_knob,further_bluejay
1499,1499,closer,af88c375d43a_11,trial_16_bloodhound,trial_18_pug,trial_25_goldenretriever,trial_28_chihuahua,closer_bloodhound
1500,1500,closer,af88c375d43a_12,trial_21_woven,trial_11_waiting,trial_27_sling,trial_4_straight,closer_woven
1503,1503,closer,af88c375d43a_15,trial_4_straight,trial_11_waiting,trial_21_woven,trial_27_sling,closer_straight
1504,1504,further,af88c375d43a_16,trial_7_basset,trial_10_beetle,trial_29_sparrow,trial_32_squat,further_basset
1505,1505,further,af88c375d43a_17,trial_8_knob,trial_12_bluejay,trial_30_doberman,trial_6_hatchback,further_knob
1506,1506,further,af88c375d43a_18,trial_30_doberman,trial_12_bluejay,trial_6_hatchback,trial_8_knob,further_doberman
1507,1507,further,af88c375d43a_19,trial_29_sparrow,trial_10_beetle,trial_32_squat,trial_7_basset,further_sparrow
1508,1508,closer,af88c375d43a_20,trial_19_pigeon,trial_13_tomtit,trial_20_cuckoo,trial_26_crow,closer_pigeon
1509,1509,further,af88c375d43a_21,trial_24_white,trial_15_nightingale,trial_2_bullmastiff,trial_5_inlay,further_white
1510,1510,further,af88c375d43a_22,trial_6_hatchback,trial_12_bluejay,trial_30_doberman,trial_8_knob,further_hatchback
1511,1511,closer,af88c375d43a_23,trial_18_pug,trial_16_bloodhound,trial_25_goldenretriever,trial_28_chihuahua,closer_pug
1512,1512,closer,af88c375d43a_24,trial_26_crow,trial_13_tomtit,trial_19_pigeon,trial_20_cuckoo,closer_crow
1513,1513,further,af88c375d43a_25,trial_1_bluesport,trial_14_robin,trial_22_leather,trial_23_weimaraner,further_bluesport
1514,1514,closer,af88c375d43a_26,trial_20_cuckoo,trial_13_tomtit,trial_19_pigeon,trial_26_crow,closer_cuckoo
1515,1515,further,af88c375d43a_27,trial_15_nightingale,trial_24_white,trial_2_bullmastiff,trial_5_inlay,further_nightingale
1516,1516,further,af88c375d43a_28,trial_23_weimaraner,trial_14_robin,trial_1_bluesport,trial_22_leather,further_weimaraner
1517,1517,further,af88c375d43a_29,trial_14_robin,trial_1_bluesport,trial_22_leather,trial_23_weimaraner,further_robin
1518,1518,further,af88c375d43a_30,trial_2_bullmastiff,trial_15_nightingale,trial_24_white,trial_5_inlay,further_bullmastiff
1519,1519,further,af88c375d43a_31,trial_22_leather,trial_14_robin,trial_1_bluesport,trial_23_weimaraner,further_leather
1520,1520,further,af88c375d43a_32,trial_5_inlay,trial_15_nightingale,trial_24_white,trial_2_bullmastiff,further_inlay
1521,1521,further,0f3dadf71345_1,trial_12_bluejay,trial_18_pug,trial_1_bluesport,trial_22_leather,further_bluejay
1522,1522,closer,0f3dadf71345_2,trial_10_beetle,trial_31_bluesedan,trial_3_redantique,trial_6_hatchback,closer_beetle
1523,1523,further,0f3dadf71345_3,trial_21_woven,trial_15_nightingale,trial_17_redsport,trial_30_doberman,further_woven
1524,1524,further,0f3dadf71345_4,trial_15_nightingale,trial_17_redsport,trial_21_woven,trial_30_doberman,further_nightingale
1525,1525,further,0f3dadf71345_5,trial_30_doberman,trial_15_nightingale,trial_17_redsport,trial_21_woven,further_doberman
1526,1526,further,0f3dadf71345_6,trial_18_pug,trial_12_bluejay,trial_1_bluesport,trial_22_leather,further_pug
1527,1527,further,0f3dadf71345_7,trial_1_bluesport,trial_12_bluejay,trial_18_pug,trial_22_leather,further_bluesport
1528,1528,further,0f3dadf71345_8,trial_14_robin,trial_24_white,trial_27_sling,trial_28_chihuahua,further_robin
1529,1529,closer,0f3dadf71345_9,trial_29_sparrow,trial_13_tomtit,trial_19_pigeon,trial_26_crow,closer_sparrow
1530,1530,further,0f3dadf71345_10,trial_28_chihuahua,trial_14_robin,trial_24_white,trial_27_sling,further_chihuahua
1531,1531,further,0f3dadf71345_11,trial_32_squat,trial_20_cuckoo,trial_2_bullmastiff,trial_9_brown,further_squat
1532,1532,closer,0f3dadf71345_12,trial_19_pigeon,trial_13_tomtit,trial_26_crow,trial_29_sparrow,closer_pigeon
1533,1533,further,0f3dadf71345_13,trial_27_sling,trial_14_robin,trial_24_white,trial_28_chihuahua,further_sling
1534,1534,further,0f3dadf71345_14,trial_24_white,trial_14_robin,trial_27_sling,trial_28_chihuahua,further_white
1535,1535,closer,0f3dadf71345_16,trial_11_waiting,trial_4_straight,trial_5_inlay,trial_8_knob,closer_waiting
