,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
737,further,7d7f0b9a0af8_17,trial_12_bluejay,trial_1_bluesport,trial_25_goldenretriever,trial_4_straight,further_bluejay
738,further,7d7f0b9a0af8_19,trial_14_robin,trial_18_pug,trial_6_hatchback,trial_8_knob,further_robin
739,further,7d7f0b9a0af8_20,trial_25_goldenretriever,trial_12_bluejay,trial_1_bluesport,trial_4_straight,further_goldenretriever
740,closer,7d7f0b9a0af8_21,trial_5_inlay,trial_21_woven,trial_27_sling,trial_32_squat,closer_inlay
741,further,7d7f0b9a0af8_22,trial_11_waiting,trial_19_pigeon,trial_2_bullmastiff,trial_31_bluesedan,further_waiting
742,further,7d7f0b9a0af8_23,trial_1_bluesport,trial_12_bluejay,trial_25_goldenretriever,trial_4_straight,further_bluesport
743,further,7d7f0b9a0af8_27,trial_2_bullmastiff,trial_11_waiting,trial_19_pigeon,trial_31_bluesedan,further_bullmastiff
744,further,7d7f0b9a0af8_29,trial_6_hatchback,trial_14_robin,trial_18_pug,trial_8_knob,further_hatchback
745,closer,895bcb3d54b9_4,trial_27_sling,trial_11_waiting,trial_5_inlay,trial_8_knob,closer_sling
746,further,895bcb3d54b9_5,trial_3_redantique,trial_12_bluejay,trial_25_goldenretriever,trial_4_straight,further_redantique
747,closer,895bcb3d54b9_9,trial_13_tomtit,trial_14_robin,trial_15_nightingale,trial_26_crow,closer_tomtit
748,further,895bcb3d54b9_17,trial_25_goldenretriever,trial_12_bluejay,trial_3_redantique,trial_4_straight,further_goldenretriever
749,closer,895bcb3d54b9_22,trial_26_crow,trial_13_tomtit,trial_14_robin,trial_15_nightingale,closer_crow
750,further,895bcb3d54b9_23,trial_12_bluejay,trial_25_goldenretriever,trial_3_redantique,trial_4_straight,further_bluejay
751,closer,895bcb3d54b9_26,trial_5_inlay,trial_11_waiting,trial_27_sling,trial_8_knob,closer_inlay
752,closer,895bcb3d54b9_27,trial_11_waiting,trial_27_sling,trial_5_inlay,trial_8_knob,closer_waiting
753,further,895bcb3d54b9_28,trial_4_straight,trial_12_bluejay,trial_25_goldenretriever,trial_3_redantique,further_straight
754,closer,895bcb3d54b9_29,trial_14_robin,trial_13_tomtit,trial_15_nightingale,trial_26_crow,closer_robin
755,closer,895bcb3d54b9_31,trial_8_knob,trial_11_waiting,trial_27_sling,trial_5_inlay,closer_knob
