,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
707,closer,0934a9585321_10,trial_20_cuckoo,trial_12_bluejay,trial_26_crow,trial_29_sparrow,closer_cuckoo
708,further,0934a9585321_11,trial_18_pug,trial_11_waiting,trial_13_tomtit,trial_24_white,further_pug
709,further,0934a9585321_12,trial_19_pigeon,trial_25_goldenretriever,trial_27_sling,trial_9_brown,further_pigeon
710,closer,0934a9585321_13,trial_12_bluejay,trial_20_cuckoo,trial_26_crow,trial_29_sparrow,closer_bluejay
711,closer,0934a9585321_14,trial_22_leather,trial_21_woven,trial_32_squat,trial_5_inlay,closer_leather
712,closer,0934a9585321_15,trial_1_bluesport,trial_10_beetle,trial_17_redsport,trial_31_bluesedan,closer_bluesport
713,closer,0934a9585321_16,trial_7_basset,trial_16_bloodhound,trial_23_weimaraner,trial_30_doberman,closer_basset
714,closer,0934a9585321_17,trial_32_squat,trial_21_woven,trial_22_leather,trial_5_inlay,closer_squat
715,further,0934a9585321_18,trial_9_brown,trial_19_pigeon,trial_25_goldenretriever,trial_27_sling,further_brown
716,closer,0934a9585321_19,trial_26_crow,trial_12_bluejay,trial_20_cuckoo,trial_29_sparrow,closer_crow
717,further,0934a9585321_21,trial_27_sling,trial_19_pigeon,trial_25_goldenretriever,trial_9_brown,further_sling
718,further,0934a9585321_23,trial_24_white,trial_11_waiting,trial_13_tomtit,trial_18_pug,further_white
719,closer,0934a9585321_24,trial_21_woven,trial_22_leather,trial_32_squat,trial_5_inlay,closer_woven
720,further,0934a9585321_25,trial_8_knob,trial_14_robin,trial_28_chihuahua,trial_3_redantique,further_knob
721,further,0934a9585321_26,trial_4_straight,trial_15_nightingale,trial_2_bullmastiff,trial_6_hatchback,further_straight
722,closer,0934a9585321_27,trial_23_weimaraner,trial_16_bloodhound,trial_30_doberman,trial_7_basset,closer_weimaraner
723,closer,0934a9585321_28,trial_10_beetle,trial_17_redsport,trial_1_bluesport,trial_31_bluesedan,closer_beetle
724,further,0934a9585321_29,trial_11_waiting,trial_13_tomtit,trial_18_pug,trial_24_white,further_waiting
725,closer,0934a9585321_30,trial_30_doberman,trial_16_bloodhound,trial_23_weimaraner,trial_7_basset,closer_doberman
726,further,0934a9585321_31,trial_28_chihuahua,trial_14_robin,trial_3_redantique,trial_8_knob,further_chihuahua
727,closer,0934a9585321_32,trial_5_inlay,trial_21_woven,trial_22_leather,trial_32_squat,closer_inlay
728,further,28ff79b4f377_1,trial_20_cuckoo,trial_24_white,trial_25_goldenretriever,trial_27_sling,further_cuckoo
729,further,28ff79b4f377_2,trial_17_redsport,trial_12_bluejay,trial_16_bloodhound,trial_8_knob,further_redsport
730,further,28ff79b4f377_3,trial_24_white,trial_20_cuckoo,trial_25_goldenretriever,trial_27_sling,further_white
731,closer,28ff79b4f377_4,trial_9_brown,trial_10_beetle,trial_1_bluesport,trial_31_bluesedan,closer_brown
732,closer,28ff79b4f377_5,trial_18_pug,trial_23_weimaraner,trial_2_bullmastiff,trial_30_doberman,closer_pug
733,further,28ff79b4f377_6,trial_3_redantique,trial_11_waiting,trial_28_chihuahua,trial_29_sparrow,further_redantique
734,closer,28ff79b4f377_8,trial_30_doberman,trial_18_pug,trial_23_weimaraner,trial_2_bullmastiff,closer_doberman
735,closer,28ff79b4f377_9,trial_14_robin,trial_15_nightingale,trial_19_pigeon,trial_26_crow,closer_robin
736,closer,28ff79b4f377_10,trial_26_crow,trial_14_robin,trial_15_nightingale,trial_19_pigeon,closer_crow
737,further,28ff79b4f377_11,trial_21_woven,trial_13_tomtit,trial_6_hatchback,trial_7_basset,further_woven
738,closer,28ff79b4f377_12,trial_10_beetle,trial_1_bluesport,trial_31_bluesedan,trial_9_brown,closer_beetle
739,further,28ff79b4f377_13,trial_7_basset,trial_13_tomtit,trial_21_woven,trial_6_hatchback,further_basset
740,further,28ff79b4f377_14,trial_29_sparrow,trial_11_waiting,trial_28_chihuahua,trial_3_redantique,further_sparrow
741,closer,28ff79b4f377_15,trial_5_inlay,trial_22_leather,trial_32_squat,trial_4_straight,closer_inlay
742,further,28ff79b4f377_16,trial_13_tomtit,trial_21_woven,trial_6_hatchback,trial_7_basset,further_tomtit
743,closer,28ff79b4f377_17,trial_31_bluesedan,trial_10_beetle,trial_1_bluesport,trial_9_brown,closer_bluesedan
744,closer,28ff79b4f377_18,trial_22_leather,trial_32_squat,trial_4_straight,trial_5_inlay,closer_leather
745,further,28ff79b4f377_19,trial_8_knob,trial_12_bluejay,trial_16_bloodhound,trial_17_redsport,further_knob
746,further,28ff79b4f377_20,trial_25_goldenretriever,trial_20_cuckoo,trial_24_white,trial_27_sling,further_goldenretriever
747,closer,28ff79b4f377_21,trial_4_straight,trial_22_leather,trial_32_squat,trial_5_inlay,closer_straight
748,further,28ff79b4f377_22,trial_16_bloodhound,trial_12_bluejay,trial_17_redsport,trial_8_knob,further_bloodhound
749,further,28ff79b4f377_23,trial_28_chihuahua,trial_11_waiting,trial_29_sparrow,trial_3_redantique,further_chihuahua
750,closer,28ff79b4f377_24,trial_32_squat,trial_22_leather,trial_4_straight,trial_5_inlay,closer_squat
751,closer,28ff79b4f377_26,trial_1_bluesport,trial_10_beetle,trial_31_bluesedan,trial_9_brown,closer_bluesport
752,further,28ff79b4f377_27,trial_11_waiting,trial_28_chihuahua,trial_29_sparrow,trial_3_redantique,further_waiting
753,closer,28ff79b4f377_28,trial_2_bullmastiff,trial_18_pug,trial_23_weimaraner,trial_30_doberman,closer_bullmastiff
754,further,28ff79b4f377_29,trial_6_hatchback,trial_13_tomtit,trial_21_woven,trial_7_basset,further_hatchback
755,further,28ff79b4f377_30,trial_27_sling,trial_20_cuckoo,trial_24_white,trial_25_goldenretriever,further_sling
756,closer,28ff79b4f377_31,trial_23_weimaraner,trial_18_pug,trial_2_bullmastiff,trial_30_doberman,closer_weimaraner
757,further,28ff79b4f377_32,trial_12_bluejay,trial_16_bloodhound,trial_17_redsport,trial_8_knob,further_bluejay
758,closer,c238f8234641_1,trial_30_doberman,trial_16_bloodhound,trial_18_pug,trial_25_goldenretriever,closer_doberman
759,further,c238f8234641_2,trial_32_squat,trial_15_nightingale,trial_17_redsport,trial_7_basset,further_squat
760,closer,c238f8234641_3,trial_14_robin,trial_19_pigeon,trial_26_crow,trial_29_sparrow,closer_robin
761,further,c238f8234641_4,trial_17_redsport,trial_15_nightingale,trial_32_squat,trial_7_basset,further_redsport
762,further,c238f8234641_5,trial_28_chihuahua,trial_13_tomtit,trial_22_leather,trial_24_white,further_chihuahua
763,further,c238f8234641_6,trial_6_hatchback,trial_11_waiting,trial_12_bluejay,trial_23_weimaraner,further_hatchback
764,closer,c238f8234641_7,trial_5_inlay,trial_21_woven,trial_4_straight,trial_8_knob,closer_inlay
765,further,c238f8234641_8,trial_15_nightingale,trial_17_redsport,trial_32_squat,trial_7_basset,further_nightingale
766,closer,c238f8234641_9,trial_3_redantique,trial_1_bluesport,trial_31_bluesedan,trial_9_brown,closer_redantique
767,further,c238f8234641_10,trial_24_white,trial_13_tomtit,trial_22_leather,trial_28_chihuahua,further_white
768,further,c238f8234641_11,trial_27_sling,trial_10_beetle,trial_20_cuckoo,trial_2_bullmastiff,further_sling
769,closer,c238f8234641_13,trial_18_pug,trial_16_bloodhound,trial_25_goldenretriever,trial_30_doberman,closer_pug
770,further,c238f8234641_14,trial_20_cuckoo,trial_10_beetle,trial_27_sling,trial_2_bullmastiff,further_cuckoo
771,closer,c238f8234641_16,trial_8_knob,trial_21_woven,trial_4_straight,trial_5_inlay,closer_knob
772,closer,c238f8234641_17,trial_25_goldenretriever,trial_16_bloodhound,trial_18_pug,trial_30_doberman,closer_goldenretriever
773,further,c238f8234641_18,trial_10_beetle,trial_20_cuckoo,trial_27_sling,trial_2_bullmastiff,further_beetle
774,further,c238f8234641_19,trial_2_bullmastiff,trial_10_beetle,trial_20_cuckoo,trial_27_sling,further_bullmastiff
775,closer,c238f8234641_20,trial_1_bluesport,trial_31_bluesedan,trial_3_redantique,trial_9_brown,closer_bluesport
776,closer,c238f8234641_21,trial_9_brown,trial_1_bluesport,trial_31_bluesedan,trial_3_redantique,closer_brown
777,closer,c238f8234641_22,trial_16_bloodhound,trial_18_pug,trial_25_goldenretriever,trial_30_doberman,closer_bloodhound
778,closer,c238f8234641_23,trial_31_bluesedan,trial_1_bluesport,trial_3_redantique,trial_9_brown,closer_bluesedan
779,further,c238f8234641_24,trial_22_leather,trial_13_tomtit,trial_24_white,trial_28_chihuahua,further_leather
780,further,c238f8234641_25,trial_13_tomtit,trial_22_leather,trial_24_white,trial_28_chihuahua,further_tomtit
781,further,c238f8234641_26,trial_12_bluejay,trial_11_waiting,trial_23_weimaraner,trial_6_hatchback,further_bluejay
782,further,c238f8234641_27,trial_7_basset,trial_15_nightingale,trial_17_redsport,trial_32_squat,further_basset
783,further,c238f8234641_28,trial_23_weimaraner,trial_11_waiting,trial_12_bluejay,trial_6_hatchback,further_weimaraner
784,closer,c238f8234641_29,trial_4_straight,trial_21_woven,trial_5_inlay,trial_8_knob,closer_straight
