,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
470,closer,e7e2225bac12_6,trial_20_cuckoo,trial_14_robin,trial_15_nightingale,trial_29_sparrow,closer_cuckoo
471,further,e7e2225bac12_7,trial_18_pug,trial_19_pigeon,trial_27_sling,trial_9_brown,further_pug
472,closer,e7e2225bac12_8,trial_31_bluesedan,trial_17_redsport,trial_1_bluesport,trial_6_hatchback,closer_bluesedan
473,closer,e7e2225bac12_9,trial_29_sparrow,trial_14_robin,trial_15_nightingale,trial_20_cuckoo,closer_sparrow
474,closer,e7e2225bac12_10,trial_32_squat,trial_21_woven,trial_22_leather,trial_5_inlay,closer_squat
475,closer,e7e2225bac12_11,trial_21_woven,trial_22_leather,trial_32_squat,trial_5_inlay,closer_woven
476,closer,e7e2225bac12_14,trial_30_doberman,trial_16_bloodhound,trial_25_goldenretriever,trial_7_basset,closer_doberman
477,closer,e7e2225bac12_16,trial_1_bluesport,trial_17_redsport,trial_31_bluesedan,trial_6_hatchback,closer_bluesport
478,further,e7e2225bac12_17,trial_27_sling,trial_18_pug,trial_19_pigeon,trial_9_brown,further_sling
479,closer,e7e2225bac12_18,trial_15_nightingale,trial_14_robin,trial_20_cuckoo,trial_29_sparrow,closer_nightingale
480,closer,e7e2225bac12_19,trial_17_redsport,trial_1_bluesport,trial_31_bluesedan,trial_6_hatchback,closer_redsport
481,closer,e7e2225bac12_20,trial_5_inlay,trial_21_woven,trial_22_leather,trial_32_squat,closer_inlay
482,closer,e7e2225bac12_21,trial_14_robin,trial_15_nightingale,trial_20_cuckoo,trial_29_sparrow,closer_robin
483,further,e7e2225bac12_23,trial_4_straight,trial_12_bluejay,trial_23_weimaraner,trial_3_redantique,further_straight
484,further,e7e2225bac12_24,trial_12_bluejay,trial_23_weimaraner,trial_3_redantique,trial_4_straight,further_bluejay
485,further,e7e2225bac12_25,trial_19_pigeon,trial_18_pug,trial_27_sling,trial_9_brown,further_pigeon
486,further,e7e2225bac12_26,trial_23_weimaraner,trial_12_bluejay,trial_3_redantique,trial_4_straight,further_weimaraner
487,further,e7e2225bac12_27,trial_3_redantique,trial_12_bluejay,trial_23_weimaraner,trial_4_straight,further_redantique
488,closer,e7e2225bac12_28,trial_7_basset,trial_16_bloodhound,trial_25_goldenretriever,trial_30_doberman,closer_basset
489,closer,e7e2225bac12_30,trial_22_leather,trial_21_woven,trial_32_squat,trial_5_inlay,closer_leather
490,closer,e7e2225bac12_32,trial_16_bloodhound,trial_25_goldenretriever,trial_30_doberman,trial_7_basset,closer_bloodhound
491,closer,2a61d8a3622d_1,trial_12_bluejay,trial_14_robin,trial_26_crow,trial_29_sparrow,closer_bluejay
492,closer,2a61d8a3622d_2,trial_2_bullmastiff,trial_16_bloodhound,trial_28_chihuahua,trial_7_basset,closer_bullmastiff
493,further,2a61d8a3622d_6,trial_32_squat,trial_10_beetle,trial_13_tomtit,trial_23_weimaraner,further_squat
494,closer,2a61d8a3622d_7,trial_14_robin,trial_12_bluejay,trial_26_crow,trial_29_sparrow,closer_robin
495,further,2a61d8a3622d_8,trial_10_beetle,trial_13_tomtit,trial_23_weimaraner,trial_32_squat,further_beetle
496,further,2a61d8a3622d_9,trial_23_weimaraner,trial_10_beetle,trial_13_tomtit,trial_32_squat,further_weimaraner
497,closer,2a61d8a3622d_13,trial_7_basset,trial_16_bloodhound,trial_28_chihuahua,trial_2_bullmastiff,closer_basset
498,closer,2a61d8a3622d_24,trial_16_bloodhound,trial_28_chihuahua,trial_2_bullmastiff,trial_7_basset,closer_bloodhound
499,further,2a61d8a3622d_25,trial_13_tomtit,trial_10_beetle,trial_23_weimaraner,trial_32_squat,further_tomtit
500,closer,2a61d8a3622d_26,trial_29_sparrow,trial_12_bluejay,trial_14_robin,trial_26_crow,closer_sparrow
501,closer,2a61d8a3622d_28,trial_28_chihuahua,trial_16_bloodhound,trial_2_bullmastiff,trial_7_basset,closer_chihuahua
502,closer,2a61d8a3622d_32,trial_26_crow,trial_12_bluejay,trial_14_robin,trial_29_sparrow,closer_crow
503,further,2a7d3b392127_1,trial_16_bloodhound,trial_11_waiting,trial_12_bluejay,trial_17_redsport,further_bloodhound
504,closer,2a7d3b392127_3,trial_3_redantique,trial_1_bluesport,trial_24_white,trial_9_brown,closer_redantique
505,closer,2a7d3b392127_11,trial_24_white,trial_1_bluesport,trial_3_redantique,trial_9_brown,closer_white
506,further,2a7d3b392127_12,trial_26_crow,trial_23_weimaraner,trial_31_bluesedan,trial_5_inlay,further_crow
507,further,2a7d3b392127_15,trial_5_inlay,trial_23_weimaraner,trial_26_crow,trial_31_bluesedan,further_inlay
508,further,2a7d3b392127_16,trial_31_bluesedan,trial_23_weimaraner,trial_26_crow,trial_5_inlay,further_bluesedan
509,closer,2a7d3b392127_18,trial_9_brown,trial_1_bluesport,trial_24_white,trial_3_redantique,closer_brown
510,further,2a7d3b392127_20,trial_12_bluejay,trial_11_waiting,trial_16_bloodhound,trial_17_redsport,further_bluejay
511,further,2a7d3b392127_22,trial_17_redsport,trial_11_waiting,trial_12_bluejay,trial_16_bloodhound,further_redsport
512,further,2a7d3b392127_23,trial_23_weimaraner,trial_26_crow,trial_31_bluesedan,trial_5_inlay,further_weimaraner
513,further,2a7d3b392127_24,trial_11_waiting,trial_12_bluejay,trial_16_bloodhound,trial_17_redsport,further_waiting
514,closer,2a7d3b392127_29,trial_1_bluesport,trial_24_white,trial_3_redantique,trial_9_brown,closer_bluesport
515,closer,fcb7cf68ddba_1,trial_32_squat,trial_11_waiting,trial_4_straight,trial_8_knob,closer_squat
516,closer,fcb7cf68ddba_5,trial_8_knob,trial_11_waiting,trial_32_squat,trial_4_straight,closer_knob
517,further,fcb7cf68ddba_14,trial_24_white,trial_15_nightingale,trial_27_sling,trial_7_basset,further_white
518,closer,fcb7cf68ddba_19,trial_30_doberman,trial_16_bloodhound,trial_18_pug,trial_28_chihuahua,closer_doberman
