,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
728,further,f6a80bd05fc3_1,trial_14_robin,trial_10_beetle,trial_25_goldenretriever,trial_32_squat,further_robin
729,closer,f6a80bd05fc3_2,trial_26_crow,trial_12_bluejay,trial_15_nightingale,trial_19_pigeon,closer_crow
730,further,f6a80bd05fc3_4,trial_10_beetle,trial_14_robin,trial_25_goldenretriever,trial_32_squat,further_beetle
731,further,f6a80bd05fc3_9,trial_25_goldenretriever,trial_10_beetle,trial_14_robin,trial_32_squat,further_goldenretriever
732,further,f6a80bd05fc3_14,trial_32_squat,trial_10_beetle,trial_14_robin,trial_25_goldenretriever,further_squat
733,closer,f6a80bd05fc3_18,trial_12_bluejay,trial_15_nightingale,trial_19_pigeon,trial_26_crow,closer_bluejay
734,further,f6a80bd05fc3_20,trial_3_redantique,trial_20_cuckoo,trial_27_sling,trial_7_basset,further_redantique
735,further,f6a80bd05fc3_22,trial_20_cuckoo,trial_27_sling,trial_3_redantique,trial_7_basset,further_cuckoo
736,closer,f6a80bd05fc3_26,trial_19_pigeon,trial_12_bluejay,trial_15_nightingale,trial_26_crow,closer_pigeon
737,further,f6a80bd05fc3_28,trial_27_sling,trial_20_cuckoo,trial_3_redantique,trial_7_basset,further_sling
738,closer,f6a80bd05fc3_29,trial_15_nightingale,trial_12_bluejay,trial_19_pigeon,trial_26_crow,closer_nightingale
739,further,f6a80bd05fc3_31,trial_7_basset,trial_20_cuckoo,trial_27_sling,trial_3_redantique,further_basset
740,closer,500ec1c2d3aa_2,trial_30_doberman,trial_16_bloodhound,trial_23_weimaraner,trial_28_chihuahua,closer_doberman
741,closer,500ec1c2d3aa_17,trial_23_weimaraner,trial_16_bloodhound,trial_28_chihuahua,trial_30_doberman,closer_weimaraner
742,closer,500ec1c2d3aa_19,trial_16_bloodhound,trial_23_weimaraner,trial_28_chihuahua,trial_30_doberman,closer_bloodhound
743,closer,500ec1c2d3aa_30,trial_28_chihuahua,trial_16_bloodhound,trial_23_weimaraner,trial_30_doberman,closer_chihuahua
744,closer,c9edf26da2a1_4,trial_13_tomtit,trial_12_bluejay,trial_15_nightingale,trial_20_cuckoo,closer_tomtit
745,closer,c9edf26da2a1_14,trial_20_cuckoo,trial_12_bluejay,trial_13_tomtit,trial_15_nightingale,closer_cuckoo
746,closer,c9edf26da2a1_17,trial_27_sling,trial_22_leather,trial_4_straight,trial_8_knob,closer_sling
747,closer,c9edf26da2a1_18,trial_15_nightingale,trial_12_bluejay,trial_13_tomtit,trial_20_cuckoo,closer_nightingale
748,closer,c9edf26da2a1_23,trial_22_leather,trial_27_sling,trial_4_straight,trial_8_knob,closer_leather
749,closer,c9edf26da2a1_29,trial_4_straight,trial_22_leather,trial_27_sling,trial_8_knob,closer_straight
750,closer,c9edf26da2a1_30,trial_12_bluejay,trial_13_tomtit,trial_15_nightingale,trial_20_cuckoo,closer_bluejay
751,closer,c9edf26da2a1_32,trial_8_knob,trial_22_leather,trial_27_sling,trial_4_straight,closer_knob
752,closer,9d29240651d1_1,trial_15_nightingale,trial_12_bluejay,trial_14_robin,trial_20_cuckoo,closer_nightingale
753,closer,9d29240651d1_2,trial_21_woven,trial_11_waiting,trial_4_straight,trial_8_knob,closer_woven
754,closer,9d29240651d1_4,trial_16_bloodhound,trial_18_pug,trial_23_weimaraner,trial_7_basset,closer_bloodhound
755,closer,9d29240651d1_7,trial_23_weimaraner,trial_16_bloodhound,trial_18_pug,trial_7_basset,closer_weimaraner
756,closer,9d29240651d1_8,trial_14_robin,trial_12_bluejay,trial_15_nightingale,trial_20_cuckoo,closer_robin
757,closer,9d29240651d1_9,trial_4_straight,trial_11_waiting,trial_21_woven,trial_8_knob,closer_straight
758,further,9d29240651d1_10,trial_19_pigeon,trial_22_leather,trial_30_doberman,trial_31_bluesedan,further_pigeon
759,further,9d29240651d1_11,trial_26_crow,trial_28_chihuahua,trial_32_squat,trial_3_redantique,further_crow
760,closer,9d29240651d1_12,trial_7_basset,trial_16_bloodhound,trial_18_pug,trial_23_weimaraner,closer_basset
761,closer,9d29240651d1_13,trial_11_waiting,trial_21_woven,trial_4_straight,trial_8_knob,closer_waiting
762,further,9d29240651d1_15,trial_32_squat,trial_26_crow,trial_28_chihuahua,trial_3_redantique,further_squat
763,further,9d29240651d1_16,trial_3_redantique,trial_26_crow,trial_28_chihuahua,trial_32_squat,further_redantique
764,further,9d29240651d1_19,trial_22_leather,trial_19_pigeon,trial_30_doberman,trial_31_bluesedan,further_leather
765,closer,9d29240651d1_20,trial_12_bluejay,trial_14_robin,trial_15_nightingale,trial_20_cuckoo,closer_bluejay
766,closer,9d29240651d1_21,trial_20_cuckoo,trial_12_bluejay,trial_14_robin,trial_15_nightingale,closer_cuckoo
767,further,9d29240651d1_22,trial_28_chihuahua,trial_26_crow,trial_32_squat,trial_3_redantique,further_chihuahua
768,closer,9d29240651d1_23,trial_8_knob,trial_11_waiting,trial_21_woven,trial_4_straight,closer_knob
769,further,9d29240651d1_28,trial_31_bluesedan,trial_19_pigeon,trial_22_leather,trial_30_doberman,further_bluesedan
770,closer,9d29240651d1_29,trial_18_pug,trial_16_bloodhound,trial_23_weimaraner,trial_7_basset,closer_pug
771,further,9d29240651d1_31,trial_30_doberman,trial_19_pigeon,trial_22_leather,trial_31_bluesedan,further_doberman
772,closer,46bb3145880a_4,trial_23_weimaraner,trial_16_bloodhound,trial_25_goldenretriever,trial_28_chihuahua,closer_weimaraner
773,further,46bb3145880a_6,trial_2_bullmastiff,trial_19_pigeon,trial_24_white,trial_4_straight,further_bullmastiff
774,closer,46bb3145880a_9,trial_5_inlay,trial_21_woven,trial_22_leather,trial_27_sling,closer_inlay
775,closer,46bb3145880a_10,trial_25_goldenretriever,trial_16_bloodhound,trial_23_weimaraner,trial_28_chihuahua,closer_goldenretriever
776,closer,46bb3145880a_11,trial_16_bloodhound,trial_23_weimaraner,trial_25_goldenretriever,trial_28_chihuahua,closer_bloodhound
777,closer,46bb3145880a_13,trial_22_leather,trial_21_woven,trial_27_sling,trial_5_inlay,closer_leather
778,further,46bb3145880a_14,trial_19_pigeon,trial_24_white,trial_2_bullmastiff,trial_4_straight,further_pigeon
779,further,46bb3145880a_17,trial_4_straight,trial_19_pigeon,trial_24_white,trial_2_bullmastiff,further_straight
780,further,46bb3145880a_20,trial_11_waiting,trial_12_bluejay,trial_30_doberman,trial_6_hatchback,further_waiting
