,Unnamed: 0,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
76,76,further,77cb88a647c4_28,trial_31_bluesedan,trial_15_nightingale,trial_30_doberman,trial_5_inlay,further_bluesedan
77,77,further,aad9b5ac4695_1,trial_8_knob,trial_12_bluejay,trial_31_bluesedan,trial_7_basset,further_knob
78,78,further,aad9b5ac4695_2,trial_7_basset,trial_12_bluejay,trial_31_bluesedan,trial_8_knob,further_basset
79,79,closer,aad9b5ac4695_3,trial_9_brown,trial_10_beetle,trial_1_bluesport,trial_24_white,closer_brown
80,80,further,aad9b5ac4695_5,trial_5_inlay,trial_13_tomtit,trial_2_bullmastiff,trial_3_redantique,further_inlay
81,81,further,aad9b5ac4695_9,trial_3_redantique,trial_13_tomtit,trial_2_bullmastiff,trial_5_inlay,further_redantique
82,82,closer,aad9b5ac4695_10,trial_24_white,trial_10_beetle,trial_1_bluesport,trial_9_brown,closer_white
83,83,further,aad9b5ac4695_14,trial_13_tomtit,trial_2_bullmastiff,trial_3_redantique,trial_5_inlay,further_tomtit
84,84,closer,aad9b5ac4695_18,trial_19_pigeon,trial_20_cuckoo,trial_26_crow,trial_29_sparrow,closer_pigeon
85,85,closer,aad9b5ac4695_19,trial_20_cuckoo,trial_19_pigeon,trial_26_crow,trial_29_sparrow,closer_cuckoo
86,86,closer,aad9b5ac4695_20,trial_10_beetle,trial_1_bluesport,trial_24_white,trial_9_brown,closer_beetle
87,87,closer,aad9b5ac4695_21,trial_29_sparrow,trial_19_pigeon,trial_20_cuckoo,trial_26_crow,closer_sparrow
88,88,closer,aad9b5ac4695_23,trial_26_crow,trial_19_pigeon,trial_20_cuckoo,trial_29_sparrow,closer_crow
89,89,further,aad9b5ac4695_25,trial_31_bluesedan,trial_12_bluejay,trial_7_basset,trial_8_knob,further_bluesedan
90,90,further,aad9b5ac4695_27,trial_2_bullmastiff,trial_13_tomtit,trial_3_redantique,trial_5_inlay,further_bullmastiff
91,91,further,aad9b5ac4695_28,trial_12_bluejay,trial_31_bluesedan,trial_7_basset,trial_8_knob,further_bluejay
92,92,closer,aad9b5ac4695_29,trial_1_bluesport,trial_10_beetle,trial_24_white,trial_9_brown,closer_bluesport
93,93,further,e202993c654f_3,trial_8_knob,trial_26_crow,trial_3_redantique,trial_7_basset,further_knob
94,94,further,e202993c654f_5,trial_31_bluesedan,trial_19_pigeon,trial_23_weimaraner,trial_5_inlay,further_bluesedan
95,95,further,e202993c654f_6,trial_3_redantique,trial_26_crow,trial_7_basset,trial_8_knob,further_redantique
96,96,further,e202993c654f_8,trial_13_tomtit,trial_16_bloodhound,trial_27_sling,trial_6_hatchback,further_tomtit
97,97,further,e202993c654f_9,trial_6_hatchback,trial_13_tomtit,trial_16_bloodhound,trial_27_sling,further_hatchback
98,98,further,e202993c654f_11,trial_23_weimaraner,trial_19_pigeon,trial_31_bluesedan,trial_5_inlay,further_weimaraner
99,99,further,e202993c654f_14,trial_16_bloodhound,trial_13_tomtit,trial_27_sling,trial_6_hatchback,further_bloodhound
100,100,further,e202993c654f_15,trial_7_basset,trial_26_crow,trial_3_redantique,trial_8_knob,further_basset
101,101,further,e202993c654f_21,trial_19_pigeon,trial_23_weimaraner,trial_31_bluesedan,trial_5_inlay,further_pigeon
102,102,further,e202993c654f_25,trial_27_sling,trial_13_tomtit,trial_16_bloodhound,trial_6_hatchback,further_sling
103,103,further,e202993c654f_26,trial_26_crow,trial_3_redantique,trial_7_basset,trial_8_knob,further_crow
104,104,further,e202993c654f_32,trial_5_inlay,trial_19_pigeon,trial_23_weimaraner,trial_31_bluesedan,further_inlay
105,105,closer,1b295ff55c49_5,trial_15_nightingale,trial_13_tomtit,trial_20_cuckoo,trial_26_crow,closer_nightingale
106,106,closer,1b295ff55c49_6,trial_18_pug,trial_23_weimaraner,trial_25_goldenretriever,trial_28_chihuahua,closer_pug
107,107,closer,1b295ff55c49_14,trial_13_tomtit,trial_15_nightingale,trial_20_cuckoo,trial_26_crow,closer_tomtit
